asin,name,brand,price_usd,weight,rating,review_count,stock,url,scraped_at
B0CXZKVG1T,"NESCAFÉ Taster's Choice Instant Coffee, Medium Light Roast Coffee, Decaf House Blend, 2 Jars (7 Oz Each)",Taster's Choice,214.12,N/A,4.8,827,In Stock,https://www.amazon.com/NESCAF%C3%89-Tasters-Choice-Instant-Coffee/dp/B0CXZKVG1T/ref=sr_1_46,2026-07-21 07:55:31
B07JNJ8S23,"Waka Premium Instant Coffee, Colombian Medium Roast, Single-Serve, 8 ct | 100% Arabica, Freeze Dried Beans, For Hot or Iced Coffee",Waka Coffee,N/A,N/A,4.2,1089,In Stock,https://www.amazon.com/Waka-Premium-Instant-Coffee-Pouches/dp/B07JNJ8S23/ref=sr_1_47,2026-07-21 07:53:44
B08VZXTDQG,"Civilized Coffee Instant Cold Brew Coffee Powder, 5 oz | 100% Arabica Coffee, Approximately 50 Servings, Medium Dark Roast, Smooth Bold Flavor, Dissolves Instantly",CIVILIZED COFFEE,246.43,N/A,4.4,668,In Stock,https://www.amazon.com/Civilized-Coffee-Instant-Granules-Non-GMO/dp/B08VZXTDQG/ref=sr_1_49,2026-07-21 07:55:46
B0008JGWLO,Jacobs Kronung Instant Coffee 100 Gram / 3.52 Ounce (Pack of 4),Jacobs,288.13,N/A,4.3,28,In Stock,https://www.amazon.com/Jacobs-Kronung-Instant-Coffee-gram/dp/B0008JGWLO/ref=sr_1_50,2026-07-21 07:55:52
B002ZWJVRO,"Maxwell House Instant Cafe-Style Beverage Mix, Decaf and Sugar Free, Easy to Prepare, 1 Canister, for Quick Morning Coffee or Afternoon Treat, French Vanilla Cafe, Kosher Dairy, 4.3 oz",MAXWELL HOUSE,101.04,N/A,4.6,5885,In Stock,https://www.amazon.com/International-Sugar-Free-Caf%C3%A9-Style-Beverage-Canister/dp/B002ZWJVRO/ref=sr_1_51,2026-07-21 07:56:11
B0085000BG,"Douwe Egberts Pure Indulgence Instant Coffee in Jar, Dark Roast, 6.7-Ounce, 190 gram",Douwe Egberts,N/A,N/A,4.2,686,In Stock,https://www.amazon.com/Douwe-Egberts-Indulgence-Instant-7-05-Ounce/dp/B0085000BG/ref=sr_1_52,2026-07-21 07:56:14
B01GHCH8NQ,"Starbucks VIA Instant Coffee, Pike Place Roast, 96 Count | 100% Arabica instant coffee packets; Pike Place Roast medium roast; 12 boxes, 8 packets each (96 total)",N/A,679.98,N/A,4.6,4875,Out of Stock,https://www.amazon.com/Starbucks-Instant-Coffee-Place-Roast/dp/B01GHCH8NQ/ref=sr_1_53,2026-07-21 07:56:45
B0D3ZXGKTY,"KimlyParc Craft Instant Espresso (6 Packets x 0.1 oz) | Double-Shot Espresso in One Packet | Medium Dark Roast, Sugar-Free | Dissolves in Hot or Cold Water in 3 Seconds | Travel-Friendly Premium Coffee",KimlyParc,280.06,N/A,4.8,43,In Stock,https://www.amazon.com/KimlyParc-Double-Shot-Sugar-Free-Dissolves-Travel-Friendly/dp/B0D3ZXGKTY/ref=sr_1_54,2026-07-21 07:56:33
B00EZD0ZX0,Jacobs Cronat Gold Instant Coffee 200 Gram / 7.05 Ounce (Pack of 6),Jacobs,390.99,N/A,4.6,125,In Stock,https://www.amazon.com/Jacobs-Cronat-Instant-Coffee-6-pack/dp/B00EZD0ZX0/ref=sr_1_55,2026-07-21 07:56:56
B07QTLP9CF,"Rapid Fire Hazelnut Instant Coffee with MCT Oil & Grass-Fed Butter – Energy, Focus & Metabolism Support – Low Sugar Functional Coffee Mix – Keto & Low-Carb Friendly – 15 Servings",Rapid Fire,306.10,N/A,4.1,2714,In Stock,https://www.amazon.com/Rapid-Fire-Hazelnut-Instant-Grass-Fed/dp/B07QTLP9CF/ref=sr_1_56,2026-07-21 07:57:12
B0029K15IA,Folgers Classic Decaf Instant Coffee 8 oz (Pack of 12),Folgers,214.12,N/A,4.7,3291,In Stock,https://www.amazon.com/Folgers-Classic-Decaf-Instant-Coffee/dp/B0029K15IA/ref=sr_1_57,2026-07-21 07:57:21
B0B3379HNT,"Starbucks Via Instant Coffee Packets, Pike Place Roast, Medium Roast Coffee, 100% Arabica Instant & Micro ground Coffee, 8 Packets Per Box (Pack of 2 Boxes)",N/A,611.96,N/A,4.6,4875,Out of Stock,https://www.amazon.com/Starbucks-Instant-Coffee-Packets-Arabica/dp/B0B3379HNT/ref=sr_1_58,2026-07-21 07:57:38
B01N7E2BK5,"Folgers Classic Roast Instant Coffee, 12 Oz. Jar",Folgers,444.40,N/A,4.7,30242,Out of Stock,https://www.amazon.com/Folgers-Classic-Instant-Coffee-Crystals/dp/B01N7E2BK5/ref=sr_1_59,2026-07-21 07:58:07
B01679Q1TG,"Cafe Altura Instant Organic Coffee, Medium Roast, 3.53 Oz Jar | Freeze-Dried",Cafe Altura,329.01,N/A,4.6,1473,In Stock,https://www.amazon.com/Cafe-Altura-Organic-Instant-Coffee/dp/B01679Q1TG/ref=sr_1_60,2026-07-21 07:58:55
